run_id,episode,episode_reward,avg_reward_20ep,avg_loss,epsilon,action_off,action_cool,action_heat,lr,gamma,epsilon_decay,batch_size,buffer_capacity
a39e8264f59c44bdb9cee0d82cafd053,95,-133.2978,-541.1872,80.5286,0.6211,3,16,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,96,-87.788,-522.5994,81.0482,0.618,5,16,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,97,-268.8494,-502.8177,92.3173,0.6149,5,15,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,98,-86.5705,-469.2213,83.456,0.6119,4,17,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,99,-319.3219,-483.8802,92.7495,0.6088,6,15,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,100,-335.1689,-494.7597,85.2397,0.6058,5,13,6,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,101,-1653.5181,-526.3484,472.4762,0.6027,6,11,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,102,-116.0719,-468.4515,261.1129,0.5997,4,17,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,103,-125.7328,-436.0153,169.4397,0.5967,5,16,3,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,104,-207.0732,-437.0734,189.8885,0.5937,3,16,5,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,105,-337.2121,-444.7214,170.4416,0.5908,3,14,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,106,-441.8364,-441.425,189.9221,0.5878,4,13,7,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,107,-105.0924,-384.4746,156.5859,0.5849,7,15,2,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,108,-512.5552,-406.7542,180.5433,0.582,7,13,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,109,-405.0454,-403.4408,139.9008,0.579,6,14,4,0.001,0.99,0.995,64,10000
a39e8264f59c44bdb9cee0d82cafd053,110,-667.3598,-397.2852,145.9132,0.5762,3,14,7,0.001,0.99,0.995,64,10000
